seq,wall_ms,timeCode,eventType,deviceType,userEvent,origReturn,latched
328,103332,1540,4,2,,0,1
329,103344,1541,1,1,,0,0
330,103344,1542,4,2,,0,1
331,103355,1543,1,1,,0,0
332,103355,1544,2,1,,0,0
333,103355,1545,4,2,,0,1
334,103366,1546,1,1,,0,0
335,103366,1547,4,2,,0,1
336,103377,1548,1,1,,0,0
337,103377,1549,2,1,,0,0
338,103377,1550,4,2,,0,1
339,103388,1551,1,1,,0,0
340,103388,1552,4,2,,0,1
341,103400,1553,1,1,,0,0
342,103400,1554,4,2,,0,1
343,103411,1555,1,1,,0,0
344,103411,1556,4,2,,0,1
345,103424,1557,1,1,,0,0
346,103424,1558,2,1,,0,0
347,103424,1559,4,2,,0,1
348,103436,1560,1,1,,0,0
349,103436,1561,4,2,,0,1
350,103448,1562,1,1,,0,0
351,103448,1563,4,2,,0,1
352,103461,1564,4,2,,0,1
353,103474,1565,1,1,,0,0
354,103474,1566,4,2,,0,1
355,103488,1567,1,1,,0,0
356,103488,1568,4,2,,0,1
357,103488,1569,4,2,,1,1
358,103501,1570,1,1,,0,0
359,103501,1571,4,2,,0,1
360,103501,1572,4,2,,1,1
361,103515,1573,1,1,,0,0
362,103515,1574,2,1,,0,0
363,103515,1575,4,2,,0,1
364,103515,1576,4,2,,1,1
365,103528,1577,1,1,,0,0
366,103528,1578,4,2,,0,1
367,103528,1579,4,2,,1,1
368,103542,1580,1,1,,0,0
369,103542,1581,2,1,,0,0
370,103542,1582,4,2,,0,1
371,103542,1583,4,2,,1,1
372,103555,1584,1,1,,0,0
373,103555,1585,4,2,,0,1
374,103555,1586,4,2,,1,1
375,103569,1587,4,2,,0,1
376,103569,1588,4,2,,1,1
377,103582,1589,1,1,,0,0
378,103582,1590,4,2,,0,1
379,103582,1591,4,2,,1,1
380,103595,1592,1,1,,0,0
381,103595,1593,2,1,,0,0
382,103595,1594,4,2,,0,1
383,103595,1595,4,2,,1,1
384,103608,1596,1,1,,0,0
385,103608,1597,2,1,,0,0
386,103608,1598,4,2,,0,1
387,103608,1599,4,2,,1,1
388,103621,1600,1,1,,0,0
389,103621,1601,2,1,,0,0
390,103621,1602,4,2,,0,1
391,103621,1603,4,2,,1,1
392,103633,1604,1,1,,0,0
393,103633,1605,2,1,,0,0
394,103633,1606,4,2,,0,1
395,103633,1607,4,2,,1,1
396,103644,1608,1,1,,0,0
397,103644,1609,2,1,,0,0
398,103644,1610,4,2,,0,1
399,103644,1611,4,2,,1,1
400,103656,1612,1,1,,0,0
401,103656,1613,2,1,,0,0
402,103656,1614,4,2,,0,1
403,103656,1615,4,2,,1,1
404,103668,1616,1,1,,0,0
405,103668,1617,2,1,,0,0
406,103668,1618,4,2,,0,1
407,103668,1619,4,2,,1,1
408,103680,1620,1,1,,0,0
409,103680,1621,2,1,,0,0
410,103680,1622,4,2,,0,1
411,103680,1623,4,2,,1,1
412,103693,1624,1,1,,0,0
413,103693,1625,2,1,,0,0
414,103693,1626,4,2,,0,1
415,103693,1627,4,2,,1,1
416,103705,1628,1,1,,0,0
417,103705,1629,2,1,,0,0
418,103705,1630,4,2,,0,1
419,103705,1631,4,2,,1,1
420,103718,1632,1,1,,0,0
421,103718,1633,2,1,,0,0
422,103718,1634,4,2,,0,1
423,103718,1635,4,2,,1,1
424,103730,1636,1,1,,0,0
425,103730,1637,2,1,,0,0
426,103730,1638,4,2,,0,1
427,103730,1639,4,2,,1,1
428,103742,1640,1,1,,0,0
429,103742,1641,2,1,,0,0
430,103742,1642,4,2,,0,1
431,103742,1643,4,2,,1,1
432,103754,1644,1,1,,0,0
433,103754,1645,2,1,,0,0
434,103754,1646,4,2,,0,1
435,103754,1647,4,2,,1,1
436,103767,1648,1,1,,0,0
